project,vuln_commit,fix_commit,cve,cwe
c-ares,df9af318ba9e6ec53c7c7b27d94fc89a93b79849,18ea99693d63f957ecb670045adbd2c1da8a4641,CVE-2017-1000381,CWE-200
c-ares,1c73eccfdcb63ef2f246dfdb13af765f6c32bfba,1cc7e83c3bdfaafbc5919c95025592d8de3a170e,CVE-2020-14354,CWE-310
c-blosc2,bb42656cb982f60ce8f1b87f3185bdcd94eb9d0a,c4c6470e88210afc95262c8b9fcc27e30ca043ee,CVE-2020-29367,CWE-787
cairo,e22d7212acb454daccc088619ee147af03883974,03a820b173ed1fdef6ff14b4468f5dbc02ff59be,CVE-2020-35492,CWE-787
clamav-devel,3cbd8b5668bd0f262a8c00b1fd57eb03c117b00a,c6870a6c857dd722dffaf6d37ae52ec259d12492,CVE-2013-2020,CWE-189
clamav-devel,158c35e81a25ea5fda55a2a7f62ea9fec2e883d9,224fee54dd6cd8933d7007331ec2bfca0398d4b4,CVE-2010-1311,CWE-20
clamav-devel,b171157fb1cf38e0ab31ae6a26be7e6554fb584e,d96a6b8bcc7439fa7e3876207aa0a8e79c8451b6,CVE-2018-1000085,CWE-125
clutter,a586c23ddcef9a11f6e343b4b6848cde2df54927,e310c68d7b38d521e341f4e8a36f54303079d74e,CVE-2013-2190,CWE-264
connman,a74524b3e3fad81b0fd1084ffdf9f2ea469cd9b1,e4079a20f617a4b076af503f6e4e8b0304c9f2cb,CVE-2021-26675,CWE-787
contiki-ng,c61897ab953868db84376016fdf0f6b0a01c240c,12c824386ab60de757de5001974d73b32e19ad71,CVE-2020-12141,CWE-125
contiki-ng,2dfbaee0a1e394e7709f7b71a3c9b7d05f2cf1bf,a4597001d50a04f4b9c78f323ba731e2f979802c,,CWE-20
cortx-s3server,320b485b403a28f5cb8bc6d5e1d87e43bf6c4999,dd6bfbc4b84f14f898598922ca9efd5aaa645c5d,,CWE-703
cpp-peglib,d84c2993af4335e2bfb1873ee631cb1eea803d15,b3b29ce8f3acf3a32733d930105a17d7b0ba347e,CVE-2020-23915,CWE-125
Crow,75c522f4f5568a8b449ffa009348be38405398e6,79eec91f00b5fb7df890d4e84b2f048b0841e044,,CWE-703
crun,b847d146d496c9d7beba166fd595488e85488562,1aeeed2e4fdeffb4875c0d0b439915894594c8c6,CVE-2022-27650,CWE-276
curl,380e132da3557235e4eb9aa593e79c62100156ea,70b1900dd13d16f2e83f571407a614541d5ac9ba,CVE-2018-16842,CWE-125
curl,da0db499fd1fed3ab061d8c03d25c06164c9f429,192c4f788d48f82c03e9cef40013f34370e90737,CVE-2013-2174,CWE-119
curl,96ffe645fd2494f14780f7c105fcfeeb8ca7d94f,2eb8dcf26cb37f09cffe26909a646e702dbcab66,CVE-2013-1944,CWE-200
curl,e97679a360dda4ea6188b09a145f73a2a84acedd,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,CVE-2018-16842,CWE-125
curl,9d8dad1a9d79d60e021f0c4e0f66bf5d51fb3c4e,81d135d67155c5295b1033679c606165d4e28f3f,CVE-2018-16840,CWE-416
curl,81d135d67155c5295b1033679c606165d4e28f3f,f3a24d7916b9173c69a3e0ee790102993833d6c5,CVE-2018-16839,CWE-119
curl,0b4ccc97f26316476d4c2abbd429952bf61b6375,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,CVE-2018-0500,CWE-787
curl,82f3ba3806a34fe94dcf9e5c9b88deda6679ca1b,facb0e4662415b5f28163e853dc6742ac5fafb3d,CVE-2019-5482,CWE-787
curl,6088fbce06ea32ef86a999092e36415a550d140a,31be461c6b659312100c47be6ddd5f0f569290f6,CVE-2015-3143,CWE-264
curl,facb0e4662415b5f28163e853dc6742ac5fafb3d,9069838b30fb3b48af0123e39f664cea683254a5,CVE-2019-5481,CWE-415
curl,b5f947b8ac0e282c61c75b69cd5b9d37dafc6959,0583e87ada7a3cfb10904ae4ab61b339582c5bd3,CVE-2015-3144,CWE-119
curl,3017d8a8d8849ebd4feae4f5eae037cd55736a61,d41dcba4e9b69d6b761e3460cc6ae7e8fd8f621f,CVE-2016-0755,CWE-287
curl,769647e714b8da41bdb72720bf02dce56033e02e,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,CVE-2017-1000257,CWE-119
curl,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,0b664ba968437715819bfe4c7ada5679d16ebbc3,CVE-2017-8817,CWE-125
curl,31be461c6b659312100c47be6ddd5f0f569290f6,b5f947b8ac0e282c61c75b69cd5b9d37dafc6959,CVE-2015-3145,CWE-119
curl,5db313985e502e82a3eed03396ee600b726d60c2,6efd2fa529a189bf41736a610f6184cd8ad94b4d,CVE-2016-3739,CWE-20
curl,184ffc0bdfcab17eb96d1dd64f9c0cecc139e3e9,7214288898f5625a6cc196e22a74232eada7861c,CVE-2021-22876,CWE-200
curl,c79b2ca03d94d996c23cee13859735cc278838c1,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,CVE-2017-8818,CWE-119
curl,9cb1059f92286a6eb5d28c477fdd3f26aed1d554,75dc096e01ef1e21b6c57690d99371dedb2c0b80,CVE-2016-5421,CWE-416
curl,19ebc282172ff204648f350c6e716197d5b4d221,57d299a499155d4b327e341c6024e293b0418243,CVE-2018-14618,CWE-190
curl,0b664ba968437715819bfe4c7ada5679d16ebbc3,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,CVE-2017-8816,CWE-190
curl,0583e87ada7a3cfb10904ae4ab61b339582c5bd3,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,CVE-2015-3148,CWE-284
curl,fae6fea209a2d4db1582f608bd8cc8000721733a,8c7ee9083d0d719d0a77ab20d9cc2ae84eeea7f3,CVE-2022-27778,CWE-706
curl,08b8ef4e726ba10f45081ecda5b3cea788d3c839,620ea21410030a9977396b4661806bc187231b79,CVE-2022-27774,CWE-522
curl,46f8911d3942dc06fdd67e9f6f3908982e5d2fb4,20f9dd6bae50b7223171b17ba7798946e74f877f,CVE-2022-32207,CWE-276
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22898,CWE-200
curl,6ecdf5136b52af747e7bda08db9a748256b1cd09,3a09fbb7f264c67c438d01a30669ce325aa508e2,CVE-2022-32206,CWE-770
curl,f8cb6c610a8e1576f1f615918a8b0a8fbd0e4e85,7e92d12b4e6911f424678a133b19de670e183a59,CVE-2022-27779,CWE-201
curl,5c7da89d404bf59c8dd82a001119a16d18365917,914aaab9153764ef8fa4178215b8ad89d3ac263a,CVE-2022-27780,CWE-918
curl,852aa5ad351ea53e5f01d2f44b5b4370c2bf5425,058f98dc3fe595f21dc26a5b9b1699e519ba5705,CVE-2022-27775,CWE-200
curl,74e156d00f9f0979a360576ba487f57c35784a14,8dfc93e573ca740544a2d79ebb0ed786592c65c3,CVE-2022-35252,CWE-20
cyrus-sasl,1c1492385bd5c70cab396347a86fd32768f33722,9eff746c9daecbcc0041b09a5a51ba30738cdcbc,CVE-2022-24407,CWE-89
edk2,f82b827c92f77eac8debdce6ef9689d156771871,26442d11e620a9e81c019a24a4ff38441c64ba10,CVE-2019-14584,CWE-476
elfspirit,bc68101afb69569f4c2e4d3be30d4802f3102562,c5b0f5a9a24f2451bbeda4751d67633bc375e608,CVE-2022-21711,CWE-125
engine,ee1986c58ccb81d1224d09a7cb56b2043fa6a2e8,c6655a0b620a3e31f085cc906f8073fe81b2fad3,CVE-2022-29242,CWE-120
engine,c6655a0b620a3e31f085cc906f8073fe81b2fad3,7df766124f87768b43b9e8947c5a01e17545772c,CVE-2022-29242,CWE-787
envoy,9371333230b1a6e1be2eccf4868771e11af6253a,e9f936d85dc1edc34fabd0a1725ec180f2316353,CVE-2022-21654,CWE-362
envoy,ce0ae309057a216aba031aff81c445c90c6ef145,9371333230b1a6e1be2eccf4868771e11af6253a,CVE-2021-43824,CWE-703
EternalTerminal,d22f36158b825ae455adbefda0bc6c9267e6563a,900348bb8bc96e1c7ba4888ac8480f643c43d3c3,CVE-2022-24950,CWE-362
evolution-data-server,3e789c94bffbaa7621262de3f88d92d38b15e0af,5d8b92c622f6927b253762ff9310479dd3ac627d,CVE-2013-4166,CWE-200
exif,f6334d9d32437ef13dc902f0a88a2be0063d9d1c,eb84b0e3c5f2a86013b6fcfb800d187896a648fa,CVE-2021-27815,CWE-476
exif,5091d97b8978b6ce2c828568abc47af3865382c9,f6334d9d32437ef13dc902f0a88a2be0063d9d1c,CVE-2021-27815,CWE-476
exiv2,9aad5cd6df95315a95141b9c305d437fa82c5d05,6e3855aed7ba8bb4731fc4087ca7f9078b2f3d97,CVE-2017-17723,CWE-125
exiv2,f650c6c97359ae8ed88914fbb9c97b17efdd75e2,bd0afe0390439b2c424d881c8c6eb0c5624e31d9,CVE-2019-13504,CWE-125
exiv2,e1686ebc3893db3b5a3b9842e8b047473dde5b72,f9308839198aca5e68a65194f151a1de92398f54,CVE-2021-29464,CWE-703
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,CVE-2021-38171,CWE-252
FFmpeg,10d821309b02014d7663b63635ff2a3294382558,0a709e2a10b8288a0cc383547924ecfe285cef89,CVE-2017-9608,CWE-476
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,31c1c0b46a7021802c3d1d18039fca30dba5a14e,CVE-2017-9608,CWE-476
FFmpeg,b52b398c30a729dda38c0dd5a0cdeef160c4ca54,611b35627488a8d0763e75c25ee0875c5b7987dd,CVE-2017-9608,CWE-476
FFmpeg,c8b1f2bcc4767b3ab59c40c32620b2e467a6ae8d,7150f9575671f898382c370acae35f9087a30ba1,CVE-2013-0868,CWE-119
FFmpeg,437b7302b09a04e0fbfcd594114b52c5c6d89d32,27a99e2c7d450fef15594671eef4465c8a166bd7,CVE-2020-35964,CWE-787
FFmpeg,1278f117d75ab9238ef181ba29b31c6ea569571b,3e5959b3457f7f1856d997261e6ac672bba49e8b,CVE-2020-35965,CWE-787
FFmpeg,48342aa0750f83006582d1598b5f22297f6dbf83,26d3c81bc5ef2f8c3f09d45eaeacfb4b1139a777,CVE-2021-33815,CWE-20
FFmpeg,449bdf05f8843c675e96daa04ecf08f1a013fbd9,6959358683c7533f586c07a766acc5fe9544d8b2,CVE-2020-13904,CWE-416
FFmpeg,8640db14e70fa7f52397dbb6e54a62e5e1f0d2c2,a3a3730b5456ca00587455004d40c047f7b20a99,CVE-2020-12284,CWE-787
FFmpeg,e708424b70bef8641e8a090ec4d9e8c4490db87e,8a3b85f3a7952c54a2c36ba1797f7e0cde9f85aa,,CWE-703
FFmpeg,ced0dc807eb67516b341d68f04ce5a87b02820de,c953baa084607dd1d84c3bfcce3cf6a87c3e6e05,CVE-2022-2566,CWE-703
FFmpeg,c57fc97e956a52edc94a38ff0ecd3058b44c15b7,61d59703c91869f4e5cdacd8d6be52f8b89d4ba4,,CWE-703
file,06de62c022138f63de9bcd04074491945eaa8662,46a8443f76cec4b41ec736eca396984c74664f84,CVE-2019-18218,CWE-787
file,586f1283d2a4f9ef64dd527258414065d10898f2,f97486ef5dc3e8735440edc4fc8808c63e1a3ef0,CVE-2014-0207,CWE-119
file,aa45cb543a1c46a569a1922bb7912905cc7e03a1,6d209c1c489457397a5763bca4b28e43aac90391,CVE-2012-1571,CWE-119
firejail,dab835e7a0eb287822016f5ae4e87f46e1d363e7,1884ea22a90d225950d81c804f1771b42ae55f54,CVE-2022-31214,CWE-94
flac,d8d171705a5d8e3ff9c24f1ff9edd17dd68939a7,5b3033a2b355068c11fe637e14ac742d273f076e,CVE-2014-8962,CWE-119
flac,71b5c028708349e1d698498c54b842a5741dae0f,5a365996d739bdf4711af51d9c2c71c8a5e14660,CVE-2014-9028,CWE-119
flac,479f6038d9680be8f1660ab883a646973d881f80,e1575e4a7c5157cbf4e4a16dbd39b74f7174c7be,CVE-2021-0561,CWE-787
flac,288edbb3a16b3b857508e2f70d0fb43091f2858f,fcf0ba06ae12ccd7c67cee3c8d948df15f946b85,CVE-2014-9028,CWE-119
flac,6d0e222a6e03f1258129b9939d3eb47870d5502a,2e7931c27eb15e387da440a37f12437e35b22dd4,CVE-2020-0499,CWE-125
flatpak,1330662f33a55e88bfe18e76de28b7922d91a999,462fca2c666e0cd2b60d6d2593a7216a83047aaf,CVE-2021-41133,CWE-20
flatpak,93357d357119093804df05acc32ff335839c6451,65cbfac982cb1c83993a9e19aa424daee8e9f042,CVE-2021-43860,CWE-276
flatpak,06869af68a3efb09ca6d5d71c90652d15c055753,9a61d2c44f0a58cebcb9b2787ae88db07ca68bb0,CVE-2021-21261,CWE-74
flatpak,eb7946bb6248923d8c90fe9b84425fef97ae580d,a7401e638bf0c03102039e216ab1081922f140ae,CVE-2021-21381,CWE-94
flatpak,8279c5818425b6812523e3805bbe242fb6a5d961,eb7946bb6248923d8c90fe9b84425fef97ae580d,CVE-2021-21381,CWE-94
flatpak,39a5621e6941b9d27bf89b63e8fb6cad6e279e53,cc1401043c075268ecc652eac557ef8076b5eaba,CVE-2021-21261,CWE-74
flatpak,e26ac7586c392b5eb35ff4609fe232c52523b2cf,89ae9fe74c6d445bb1b3a40e568d77cf5de47e48,CVE-2021-41133,CWE-20
flatpak,9914dff925d9621f7602acc4848f57086944d5fd,e26ac7586c392b5eb35ff4609fe232c52523b2cf,CVE-2021-41133,CWE-20
flatpak,9a61d2c44f0a58cebcb9b2787ae88db07ca68bb0,fb473cad801c6b61706353256cab32330557374a,CVE-2021-21261,CWE-74
flatpak,4ac11066908ddb62a456c8dbdfa11cce643e9e11,e2c4ded323161f47609d0af97d00019d04a635f1,CVE-2021-21261,CWE-74
fluent-bit,592d401887c1e323ef9bcd4819c637552b50b9c0,22346a74c07ceb90296be872be2d53eb92252a54,CVE-2021-36088,CWE-415
fluent-bit,d75062d7cd6935cab4aab8e971ec6a91a50688d5,cadff53c093210404aed01c4cf586adb8caa07af,CVE-2020-35963,CWE-787
fontforge,15af0cffb26334fa7fdb1b671adbf9f44ca7a2d6,048a91e2682c1a8936ae34dbc7bd70291ec05410,CVE-2020-5395,CWE-416
frr,dfdb8f18c008e7ad306588c86b12fbef337427ca,6d58272b4cf96f0daa846210dd2104877900f921,CVE-2022-37032,CWE-125
frr,49efc80d342d8e8373c8af040580bd7940808730,ff6db1027f8f36df657ff2e5ea167773752537ed,CVE-2022-37032,CWE-125
furnace,38ca43719015f610488ed55a433ce200ddcf6d8d,0eb02422d5161767e9983bdaa5c429762d3477ce,CVE-2022-1289,CWE-703
gcab,e052be44743f65d7b10993eb73248a3e6d6c2919,bd2abee5f0a9b5cbe3a1ab1f338c4fb8f6ca797b,CVE-2018-5345,CWE-787
gd-libgd,6db34b72f7222fb2172ca577d38573f17d7b2d49,47eb44b2e90ca88a08dca9f9a1aa9041e9587f43,CVE-2014-9709,CWE-119
gdk-pixbuf,385309042325393d2e11cdb62392e3a3a2ceedf1,4f0f465f991cd454d03189497f923eb40c170c22,CVE-2012-2370,CWE-189
gdk-pixbuf,4ffc78b66b60ac8741bc78be60386b3ddb0b33ba,c2a40a92fe3df4111ed9da51fe3368c079b86926,CVE-2017-2862,CWE-787
gdk-pixbuf,3c6779c37482d8c322446629a5407d7bd912b23d,bdd3acbd48a575d418ba6bf1b32d7bda2fae1c81,CVE-2020-29385,CWE-835
gdk-pixbuf,eb0754b706e80d40c87b7de79a5031a5f2083a65,31a6cff3dfc6944aad4612a9668b8ad39122e48b,CVE-2017-2870,CWE-190
gegl,1e92e5235ded0415d555aa86066b8e4041ee5a53,4757cdf73d3675478d645a3ec8250ba02168a230,CVE-2012-4433,CWE-189
gerbv,c6d1bf1e0484c514cec899af1358f700ce2c2cfc,672214abb47a802fc000125996e6e0a46c623a4e,CVE-2021-40391,CWE-787
gerbv,b2c2f8da851f2ac8079a91ce9d498d87ff96abcf,319a8af890e4d0a5c38e6d08f510da8eefc42537,CVE-2021-40402,CWE-200
ghostpdl,366ad48d076c1aa4c8f83c65011258a04e348207,2793769ff107d8d22dadd30c6e68cd781b569550,CVE-2020-16305,CWE-787
ghostpdl,93cb0c0adbd9bcfefd021d59c472388f67d3300d,450da26a76286a8342ec0864b3d113856709f8f6,CVE-2020-16287,CWE-787
ghostpdl,f77f99702c9c8418b9516056d5f4280105beafc4,5d499272b95a6b890a1397e11d20937de000d31b,CVE-2020-15900,CWE-787
ghostpdl,68fa913b5bc06a4250115f52835cadc5493aab12,362ec9daadb9992b0def3520cd1dc6fa52edd1c4,CVE-2016-10317,CWE-119
ghostpdl,ec065fd285f8064ac34cc160106dd730569ebc75,366ad48d076c1aa4c8f83c65011258a04e348207,CVE-2020-16302,CWE-120
ghostpdl,d044176a8e9119c4e2b8d30c65811eb0facd9560,e1134d375e2ca176068e19a2aa9b040baffe1c22,CVE-2022-1350,CWE-787
ghostpdl,bcdbe51791cf38240c73862af9ca1cacb8f3e177,ab109aaeb3ddba59518b036fb288402a65cf7ce8,CVE-2013-5653,CWE-200
ghostpdl,c64d06deea998199a0e30180fd884286b4b2256c,714e8995cd582d418276915cbbec3c70711fb19e,CVE-2020-16300,CWE-787
ghostpdl,67d760ab775dae4efe803b5944b0439aa3c0b04a,ef252e7dc214bcbd9a2539216aab9202848602bb,CVE-2018-19477,CWE-704
ghostpdl,d621292fb2c8157d9899dcd83fd04dd250e30fe4,90fd0c7ca3efc1ddff64a86f4104b13b3ac969eb,CVE-2016-10217,CWE-416
glewlwyd,d4a16025c619e6fd689fa81b594298d404e116ee,125281f1c0d4b6a8b49f7e55a757205a2ef01fbe,CVE-2021-45379,CWE-287
glewlwyd,66a7a6dc155e5604cb2543047494aa6ec5a0b80a,0efd112bb62f566877750ad62ee828bff579b4e2,CVE-2021-40818,CWE-787
glewlwyd,a7ddc5b3c2981cf15fc477fbd12397afcc559e4b,4c5597c155bfbaf6491cf6b83479d241ae66940a,,CWE-787
glib,140b82083f66511932f8d4b9c6a91a69a78446a1,d553d92d6e9f53cbe5a34166fcb919ba652c6a8e,CVE-2019-9633,CWE-754
glibc,da2d62df77de66e5de5755228759f8bc18481871,e4608715e6e1dd2adc91982fd151d5ba4f761d69,CVE-2013-2207,CWE-284
glibc,6c2f050dbe11fb4ed0a401a5f25731f2aa53046b,23e0e8f5f1fb5ed150253d986ecccdc90c2dcd5e,CVE-2021-3999,CWE-284
glibc,fb7bff12e81c677a6622f724edd4d4987dd9d971,ee8d5e33adb284601c00c94687bc907e10aec9bb,CVE-2021-3998,CWE-125
gnulib,0e14f025d2ad40e9fbe4222e3fda328df107e761,2d1bd71ec70a31b01d01b734faa66bb1ed28961f,CVE-2017-15670,CWE-119
gnulib,c9ff68cb20dab6d3f066c5474e4faf7066361a84,5513b40999149090987a0341c018d05d3eea1272,CVE-2009-5155,CWE-19
gnumeric,256c0f259615a090d33a43654745dc3a61f277d0,b5480b69345b3c6d56ee0ed9c9e9880bb2a08cdc,CVE-2013-6836,CWE-119
gpac,b07a6ace2113f2dd22531151ba30215df4f449e9,ad18ece95fa064efc0995c4ab2c985f77fb166ec,CVE-2021-40576,CWE-476
gpac,ad18ece95fa064efc0995c4ab2c985f77fb166ec,5f2c2a16d30229b6241f02fa28e3d6b810d64858,CVE-2021-40575,CWE-476
gpac,04dbf08bff4d61948bab80c3f9096ecc60c7f302,f1ae01d745200a258cdf62622f71754c37cb6c30,CVE-2021-40568,CWE-120
gpac,86c1566f040b2b84c72afcb6cbd444c5aff56cfe,a69b567b8c95c72f9560c873c5ab348be058f340,CVE-2021-40571,CWE-415
gpac,5dd71c7201a3e5cf40732d585bfb21c906c171d3,893fb99b606eebfae46cde151846a980e689039b,CVE-2021-40565,CWE-476
gpac,a69b567b8c95c72f9560c873c5ab348be058f340,30ac5e5236b790accd1f25347eebf2dc8c6c1bcb,CVE-2021-40574,CWE-415
gpac,96047e0e6166407c40cc19f4e94fb35cd7624391,b03c9f252526bb42fbd1b87b9f5e339c3cf2390a,CVE-2021-40573,CWE-415
gpac,50e6fd34a0220ea5ab0f1d3fc8558179bc10a596,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,CVE-2021-4043,CWE-476
gpac,7caa2302c549ec755b1f15db77d98f4e28eb7fbe,37592ad86c6ca934d34740012213e467acc4a3b0,CVE-2022-29340,CWE-476
gpac,1773b7a34bc08734aee7d3f5dfe65d06389fe15a,3dbe11b37d65c8472faf0654410068e5500b3adb,CVE-2022-1441,CWE-703
gpac,57f4ec34fbb613eb6419a21b5b13b6eee65a557f,71460d72ec07df766dab0a4d52687529f3efcf0a,CVE-2021-40592,CWE-703
gpac,b09c75dc2d4bf68ac447daa71e72365aa30231a9,f5a038e6893019ee471b6a57490cf7a495673816,CVE-2021-40567,CWE-703
gpac,1273cdc706eeedf8346d4b9faa5b33435056061d,a51f951b878c2b73c1d8e2f1518c7cdc5fb82c3f,CVE-2021-33361,CWE-787
gpac,96170ab9e525ff3db6d28e5ea6c5e6377ed3b9cf,dae9900580a8888969481cd72035408091edb11b,CVE-2020-35981,CWE-476
gpac,0b29a41c4cde0dabde4c29b1d7aac4a7c503f4ae,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c,CVE-2022-2453,CWE-416
gpac,8595ef82b37f9219962d21ca9b985b256b125774,c535bad50d5812d27ee5b22b54371bddec411514,CVE-2022-1795,CWE-416
gpac,e90526f3d2ec0dee4cddc5244eb115668f10341f,8e585e623b1d666b4ef736ed609264639cb27701,CVE-2020-25427,CWE-476
gpac,da59a5b8fed9e1c260b8e87ea0bfe7d8d5369fcd,e74be5976a6fee059c638050a237893f7e9a3b23,CVE-2021-32132,CWE-476
gpac,eb71812fcc10e9c5348a5d1c61bd25b6fa06eaed,328def7d3b93847d64ecb6e9e0399684e57c3eca,CVE-2021-32137,CWE-787
gpac,da69ad1f970a7e17c865eaec9af98cc84df10d5b,13dad7d5ef74ca2e6fe4010f5b03eb12e9bbe0ec,CVE-2021-30015,CWE-787
gpac,984787de3d414a5f7d43d0b4584d9469dff2a5a5,0a85029d694f992f3631e2f249e4999daee15cbf,CVE-2021-33366,CWE-401
gpac,328def7d3b93847d64ecb6e9e0399684e57c3eca,289ffce3e0d224d314f5f92a744d5fe35999f20b,CVE-2021-32138,CWE-401
gpac,beb3c20bab04614e170cf0da1aa8d0bffc68c643,1273cdc706eeedf8346d4b9faa5b33435056061d,CVE-2021-33362,CWE-787
gpac,093283e727f396130651280609e687cd4778e0d1,9eeac00b38348c664dfeae2525bba0cf1bc32349,CVE-2020-23930,CWE-476
gpac,fe5155cf047252d1c4cb91602048bfa682af0ea7,984787de3d414a5f7d43d0b4584d9469dff2a5a5,CVE-2021-33365,CWE-787
gpac,9eeac00b38348c664dfeae2525bba0cf1bc32349,ce01bd15f711d4575b7424b54b3a395ec64c1784,CVE-2020-23932,CWE-476
gpac,757501a462339f162e3a8b0f5221d079e8658dfb,da69ad1f970a7e17c865eaec9af98cc84df10d5b,CVE-2021-29279,CWE-787
gpac,5aba27604d957e960d8069d85ccaf868f8a7b07a,b15020f54aff24aaeb64b80771472be8e64a7adc,CVE-2020-35979,CWE-787
gpac,c4a5109dad73abe25ad12d8d529a728ae98d78ca,8986422c21fbd9a7bf6561cae65aae42077447e8,CVE-2021-31254,CWE-787
gpac,a9a055595127166f625dc54aefd4901bd136d1c7,eb71812fcc10e9c5348a5d1c61bd25b6fa06eaed,CVE-2021-32136,CWE-125
gpac,a4eb327049132359cae54b59faec9e2f14c5a619,5aba27604d957e960d8069d85ccaf868f8a7b07a,CVE-2020-35980,CWE-416
gpac,a3862a8fe11f24de8a25f2aed0fff42b586a6f73,2da2f68bffd51d89b1d272d22aa8cc023c1c066e,CVE-2021-31256,CWE-416
gpac,dae9900580a8888969481cd72035408091edb11b,a4eb327049132359cae54b59faec9e2f14c5a619,CVE-2020-35982,CWE-476
gpac,362fc486b5c0eea04f26793d5623f6a9272bd85a,388ecce75d05e11fc8496aa4857b91245007d26e,CVE-2021-32268,CWE-787
gpac,185532656c97da3d7ed50a55871f5df42e0b89a9,f0ba83717b6e4d7a15a1676d1fe06152e199b011,CVE-2021-32440,CWE-476
